Customer ID,Customer Name,Alias,DAX Customer Id,MySGS Legacy Id,Customer Type,Portfolio Group Id,Portfolio Group Name,Simplified Group Id,Simplified Group Name
190,"Coveris Flexibles (Louth) UK Ltd",NULL,NULL,13025,Printer,213,"TRANSCONTINENTAL INC.",6672,"TRANSCONTINENTAL INC."
191,"Saica Flex UK Ltd -  ENNISKILLEN","Saica Flex UK Ltd -  ENNISKILLEN",NULL,23009,Printer,12836,"WEBTECH (NI) LTD",7735,"WEBTECH (NI) LTD"
193,"TPI Carton Wrexham",NULL,NULL,20040,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
215,"Tetra Pak A/S (Denmark)","Tetra Pak Denmark",NULL,20070,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
220,"DO NOT USE - Amcor Flexibles Venus",NULL,NULL,1019,Printer,3488,"AMCOR",335,"AMCOR"
226,"Tetra Pak Dijon",NULL,NULL,20081,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
245,"Birds Eye Limited",NULL,NULL,2111,Retailer,6234,"BIRDS EYE FOODS INC",826,"BIRDS EYE FOODS INC"
246,"Bischof & Klein (UK) Ltd",NULL,NULL,2042,Printer,12427,"BISCHOF & KLEIN",7327,"BISCHOF & KLEIN"
253,"Amcor Flexibles Ledbury",NULL,NULL,1046,Printer,3488,"AMCOR",335,"AMCOR"
254,"Amcor Flexibles Evesham.","Amcor Flexibles Evesham",NULL,1017,Printer,3488,"AMCOR",335,"AMCOR"
256,"Brayford Plastics",NULL,NULL,2056,Printer,12440,"BRAYFORD PLASTICS LTD",7340,"BRAYFORD PLASTICS LTD"
268,"RHM Culinary Brands",NULL,NULL,18054,Supplier,12706,"RHM CULINARY BRANDS",7605,"RHM CULINARY BRANDS"
269,"Bennett Opie Ltd",NULL,NULL,2110,Retailer,12424,"BENNETT OPIE LTD",7324,"BENNETT OPIE LTD"
280,"Bemis Elsham Limited",NULL,NULL,36945,Printer,3282,"BEMIS-CURWOOD",743,"BEMIS-CURWOOD"
294,"Tetra Pak Italiana S.p.A.","Tetra Pak Italy",NULL,20084,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
301,"Tetra Pak & Cie","Tetra Pak France",NULL,20085,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
303,"Parkside Flexibles Ltd",NULL,NULL,2063,Printer,12678,"PARKSIDE FLEXIBLES LTD",7577,"PARKSIDE FLEXIBLES LTD"
305,"SGS Tamworth","SGS Tamworth (Bridgehead)",NULL,SGS006,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
307,"Nestle EMM - Gourmet",NULL,NULL,14051,Retailer,118,"NESTLE",4565,"NESTLE"
317,"Interflex Scotland Ltd",NULL,NULL,20052,Printer,5755,"INTERFLEX GROUP INC",3301,"INTERFLEX GROUP INC"
321,"Kerry Foods Ltd (Egham)","Kerry Foods Ltd Egham Hull",NULL,11008,Retailer,3453,"KERRY INC",3594,"KERRY INC"
337,"Allied Bakeries Ltd","Allied Hull",NULL,1074,Retailer,12398,"ALLIED BAKERIES",7298,"ALLIED BAKERIES"
341,"Amcor Ilkeston",NULL,NULL,1018,Printer,3488,"AMCOR",335,"AMCOR"
344,"Noble Foods Ltd",NULL,NULL,4045,Supplier,5093,"DEAN FOODS",1815,"DEAN FOODS"
345,"Huhtamaki","Huhtamki Co. Armagh, NI",NULL,27674,Printer,3116,"HUHTAMAKI",3141,"HUHTAMAKI"
357,"SGS London",NULL,NULL,27635,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
365,"Qualvis",NULL,NULL,27663,Printer,12701,"QUALVIS",7600,"QUALVIS"
367,"Tetra Pak A/S (Norway)","Tetra Pak Norway",NULL,20087,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
375,"The Wrigley Company Ltd","Wrigley UK",NULL,WRIG01,Retailer,636,"MARS, INC.",4121,"MARS, INC."
376,"Mondelez Europe Services GmbH - UK branch","DO NOT USE",NULL,KRAF16,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
385,"Premier Foods Group Ltd",NULL,NULL,2100,Retailer,12442,"BRITISH BAKERIES",7342,"BRITISH BAKERIES"
387,"Harrison Packaging",NULL,NULL,31910,Printer,12540,"HARRISON PACKAGING",7440,"HARRISON PACKAGING"
397,"Schawk",NULL,NULL,29296,Repro House,9859,"SCHAWK",5822,"SCHAWK"
399,"Jones Knowles Ritchie",NULL,NULL,28634,Design Agency,1800,"JONES KNOWLES RITCHIE",3488,"JONES KNOWLES RITCHIE"
400,"Tangerine Confectionery Ltd",NULL,NULL,20001,Supplier,12764,"TANGERINE CONFECTIONERY LTD",7663,"TANGERINE CONFECTIONERY LTD"
411,"Unilever France",NULL,NULL,21022,Retailer,626,"UNILEVER",6802,"UNILEVER"
412,"Kerry Foods Ltd (Hyde)",NULL,NULL,11038,Supplier,3453,"KERRY INC",3594,"KERRY INC"
429,"UKCR c/o Unilever R & D","Unilever R & D vat727040458",NULL,UNI002,Retailer,626,"UNILEVER",6802,"UNILEVER"
430,"Mondi Packaging Korneuburg GmbH",NULL,NULL,14057,Printer,3605,"MONDI PACKAGING",4383,"MONDI PACKAGING"
438,"Pure Equator Design",NULL,NULL,16072,Design Agency,9128,"PURE EQUATOR DESIGNS",5424,"PURE EQUATOR DESIGNS"
441,"Tetra Pak Kenya","TP Kenya (TPEA)",NULL,20030,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
448,"Boxes GH Ltd",NULL,NULL,2052,Printer,7988,"BOXES INC",946,"BOXES INC"
449,"Sara Lee Southern Europe, S.L.",NULL,NULL,27001,Retailer,1447,"HILLSHIRE BRANDS COMPANY THE",3037,"HILLSHIRE BRANDS COMPANY THE"
452,"MMP Packaging UK","MMP Packaging UK",NULL,27084,Printer,1307,"MONDELEZ",4382,"MONDELEZ"
456,"Skanem (Liverpool) Ltd",NULL,NULL,27610,Printer,12737,"SKANEM CARDIFF",7636,"SKANEM CARDIFF"
457,"Ultimate Packaging Ltd",NULL,NULL,21004,Printer,12795,"ULTIMATE PACKAGING LTD",7694,"ULTIMATE PACKAGING LTD"
459,"CCL Decorative Sleeves Limited",NULL,NULL,4012,Printer,3961,"CCL LABEL",1236,"CCL LABEL"
460,"National Flexible Ltd",NULL,NULL,14002,Design Agency,12649,"NATIONAL FLEXIBLE LTD",7549,"NATIONAL FLEXIBLE LTD"
462,"Kimberly-Clark",NULL,NULL,11039,Supplier,2822,"KIMBERLY CLARK",3615,"KIMBERLY CLARK"
465,"Roberts Mart & Co Ltd",NULL,NULL,18019,Printer,12711,"ROBERTS MART & CO LTD",7610,"ROBERTS MART & CO LTD"
468,"Tetra Pak (Suisse) SA","Tetra Pak Romont",NULL,20089,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
479,"Tetra Pak Hispania S.A.","Tetra Pak Spain",NULL,20029,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
480,"Tetra Pak Oy (Finland)","Tetra Pak Finland",NULL,20009,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
481,"LPC UK Ltd",NULL,NULL,12033,Supplier,12608,"LPC",7508,"LPC"
487,"Rockline Industries Ltd",NULL,NULL,18024,Supplier,9638,"ROCKLINE INDUSTRIES",5656,"ROCKLINE INDUSTRIES"
496,"Coveris Deutschland GmbH","Coveris Flexibles Deutschland GmbH (Hull EUR)",NULL,KOB001,Printer,119,"PROCTER & GAMBLE",5357,"PROCTER & GAMBLE"
504,"Johnson & Johnson (Portugal)",NULL,NULL,JOH06,Retailer,1466,"JOHNSON & JOHNSON",3480,"JOHNSON & JOHNSON"
517,"Sofidel (Intertissue)","Sofidel (Intertissue)",NULL,6033,Retailer,2508,"GEORGIA PACIFIC",2631,"GEORGIA PACIFIC"
518,"Amcor Flexibles Neocel -Embalagens Unipessoal, Lda","AMCOR NEOCEL - DO NOT USE",NULL,27291,Printer,3488,"AMCOR",335,"AMCOR"
520,"Fletchers Bakeries",NULL,NULL,6028,Supplier,12513,"FLETCHERS BAKERIES",7413,"FLETCHERS BAKERIES"
525,"AO Tetra Pak","Tetra Pak Moscow",NULL,20090,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
540,"Nordenia Slavnika Zao","Nordenia Slavnika",NULL,14055,Printer,3479,"MONDI JACKSON LLC",4383,"MONDI PACKAGING"
541,"Surepak",NULL,NULL,19056,Printer,12758,"SUREPAK LTD",7657,"SUREPAK LTD"
545,"Wipak UK Ltd",NULL,NULL,23031,Printer,12827,"WIPAK UK LTD",7726,"WIPAK UK LTD"
546,"Saica Flex UK Ltd - WIGAN","Saica Flex UK Ltd - WIGAN",NULL,1036,Printer,12847,"A.S.P. PACKAGING LIMITED",7746,"A.S.P. PACKAGING LIMITED"
547,"Berry BPI Group",NULL,NULL,22001,Printer,12443,"BRITISH POLYTHENE IND PLC",7343,"BRITISH POLYTHENE IND PLC"
549,"Sabre Triad",NULL,NULL,13038,Printer,9738,"SABRE TRIAD LTD",5746,"SABRE TRIAD LTD"
550,"Saica Flex UK Ltd - BUXTON","Saica Flex UK Ltd - BUXTON",NULL,16061,Printer,12850,"PRIMOPOST LTD",7749,"PRIMOPOST LTD"
551,"Betts Pkg Shanghai",NULL,NULL,2023,Printer,5531,"BETTS",787,"BETTS"
559,"Leading Edge Labels",NULL,NULL,12017,Printer,12595,"LEADING EDGE LABELS",7495,"LEADING EDGE LABELS"
568,"Flexicon",NULL,NULL,29602,Repro House,12514,"FLEXICON AG",7414,"FLEXICON AG"
569,"TP International SA",NULL,NULL,20091,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
576,"Johnson & Johnson Middle East",NULL,NULL,JOH10,Retailer,1466,"JOHNSON & JOHNSON",3480,"JOHNSON & JOHNSON"
581,"Kinnerton Confectionery",NULL,NULL,27006,Supplier,12584,"KINNERTON CONFECTIONERY",7484,"KINNERTON CONFECTIONERY"
582,"Tetra Pak Wrexham",NULL,NULL,20067,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
597,"Cott Beverages Limited.",NULL,NULL,3063,Supplier,1588,"REFRESCO",5552,"REFRESCO"
601,"Humdinger Ltd",NULL,NULL,8030,Supplier,12553,"HUMDINGER LTD",7453,"HUMDINGER LTD"
604,"Rupp Cheese Innovation gmbH",NULL,NULL,RUP01,Retailer,12714,"RUPP CHEESE INNOVATION GMBH",7613,"RUPP CHEESE INNOVATION GMBH"
605,"Unilever Brazil",NULL,NULL,,Retailer,626,"UNILEVER",6802,"UNILEVER"
609,"A & R Carton Lund AB",NULL,NULL,27029,Printer,12383,"A & R CARTON LUND AB",7283,"A & R CARTON LUND AB"
610,"Park Cakes Ltd",NULL,NULL,27031,Supplier,12677,"PARK CAKES LTD",7576,"PARK CAKES LTD"
618,"Tetra Pak Packaging Solutions AB",NULL,NULL,27041,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
622,"Alcan Packaging Dublin Limited",NULL,NULL,12012,Printer,3370,"ALCAN",220,"ALCAN"
634,"Mondi Packaging Lindlar GmbH",NULL,NULL,6060,Printer,3605,"MONDI PACKAGING",4383,"MONDI PACKAGING"
636,"Trioplast",NULL,NULL,27105,Printer,12788,"TRIOPLAST",7687,"TRIOPLAST"
655,"Monkhill Confectionery",NULL,NULL,13048,Supplier,12639,"MONKHILL CONFECTIONERY",7539,"MONKHILL CONFECTIONERY"
656,"Essity UK Ltd",NULL,NULL,27067,Retailer,3933,"SCA HEALTHCARE",5819,"SCA HEALTHCARE"
666,"HJ Heinz Frozen & Chilled",NULL,NULL,27075,Supplier,7152,"HEINZ HJ CO",2988,"HEINZ HJ CO"
688,"Nordenia International AG",NULL,NULL,27099,Printer,3479,"MONDI JACKSON LLC",4383,"MONDI PACKAGING"
697,"Pinguin Foods UK Ltd",NULL,NULL,27111,Supplier,12682,"PINGUIN",7581,"PINGUIN"
718,"Saica Flex ita s.p.a",NULL,NULL,27128,Printer,12450,"CENTROPLAST S.P.A.",7350,"CENTROPLAST S.P.A."
731,"Mondelez Europe Services GmbH Schweiz - sven (452)","MDLZ Eur Ser GmbH Schweiz (452) (TAM �)",NULL,KRAF18,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
732,"Mondelez Danmark Services, filial af Mondelez Europe Services GmbH, Schweiz","MDLZ Danmark Services, (TAM �)",NULL,KRAF19,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
733,"Mondelez Europe Services - norsk filial","MDLZ Europe Services - norsk filial (TAM �)",NULL,KRAF20,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
735,"Tetra Pak Pkg Sunne AB","Tetra Pak Sunne",NULL,20066,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
736,"SGS Philadelphia","SGS Philadelphia (Hull)",NULL,SGS002,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
738,"SGS Packaging Netherlands BV","SGS Packaging Netherlands BV (Tamworth)",NULL,SGS010,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
746,"Paragon Labels Ltd",NULL,NULL,16011,Printer,12676,"PARAGON LABELS",7575,"PARAGON LABELS"
756,"CPS Flexible Ltd","CPS Flexible Ltd",NULL,27150,Printer,12461,"CPS FLEXIBLE LTD",7361,"CPS FLEXIBLE LTD"
780,"Boran Mopack","Boran Mopack",NULL,2088,Printer,12432,"BORAN MOPACK",7332,"BORAN MOPACK"
782,"Mondelez Italia Services S.r.l.","DO NOT USE",NULL,KRAF21,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
784,"Mondelez Polska S.A.","DO NOT USE",NULL,KRAF23,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
785,"Mondelez Hungaria Kft.","MDLZ Hungaria Kft. (TAM �)",NULL,KRAF24,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
786,"Mondelez Czech Republic s.r.o","MDLZ Czech Republic s.r.o (TAM �)",NULL,KRAF25,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
787,"Mondelez Slovakia a.s.","DO NOT USE",NULL,KRAF26,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
812,"Kallo Foods Ltd",NULL,NULL,11024,Supplier,12573,"KALLO FOODS LTD",7473,"KALLO FOODS LTD"
819,"Sun Chemicals","Sun Chemicals Rochdale �",NULL,30332,Printer,5241,"SUN CHEMICAL CO",6357,"SUN CHEMICAL CO"
822,"Korozo",NULL,NULL,27185,Printer,12587,"KOROZO",7487,"KOROZO"
831,"Mondelez Schweiz AG",NULL,NULL,KRAF23,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
835,"S. C. Johnson & Son, Inc.","SCJ USA RACINE (EU A&P)",NULL,27197,Retailer,1710,"SC JOHNSON",5817,"SC JOHNSON"
842,"Mondelez Finland Oy","MDLZ Finland Oy (TAM �)",NULL,KRAF30,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
845,"Johnson & Johnson UK",NULL,NULL,JOH21,Retailer,1466,"JOHNSON & JOHNSON",3480,"JOHNSON & JOHNSON"
847,"Tetra Pak Global",NULL,NULL,,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
855,"Procter & Gamble Babycare","P&G Babycare",NULL,PNG060,Retailer,119,"PROCTER & GAMBLE",5357,"PROCTER & GAMBLE"
861,"Tetra Pak Gornji",NULL,NULL,27213,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
874,"Elif Plastik Ambalaj Sanayi Ve Tic","Elif Plastik Ambalaj (Euros) (EXW)",NULL,27217,Printer,12492,"ELIF PLASTIK AMBALAJ SANAYI",7392,"ELIF PLASTIK AMBALAJ SANAYI"
878,"National Packaging Corporation",NULL,NULL,901401,Printer,12650,"NATIONAL PKG CORPORATION LTD",7550,"NATIONAL PKG CORPORATION LTD"
879,"Quinn Packaging",NULL,NULL,27221,Printer,12702,"QUINN PACKAGING",7601,"QUINN PACKAGING"
891,"ASPLA",NULL,NULL,27231,Printer,12408,"ASPLA",7308,"ASPLA"
892,"Mondelez Ireland Limited","MDLZ Ireland Limited  (TAM �)",NULL,KRAF34,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
894,"TP Europe SA",NULL,NULL,27233,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
906,"Frank Roberts & Sons Ltd",NULL,NULL,27851,Supplier,12521,"FRANK ROBERTS & SONS LTD",7421,"FRANK ROBERTS & SONS LTD"
909,"Irish Flexible Packaging",NULL,NULL,27249,Printer,12564,"IRISH FLEXIBLE PACKAGING LTD",7464,"IRISH FLEXIBLE PACKAGING LTD"
910,"Huhtamaki (4P)",NULL,NULL,27250,Printer,3116,"HUHTAMAKI",3141,"HUHTAMAKI"
911,"Mondelez Osterreich",NULL,NULL,KRAF13,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
912,"Tetra Pak Ireland Ltd",NULL,NULL,27251,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
914,"Philips Consumer Lifestyle B.V. (NL18-Production)","Philips Consumer Lifestyle B.V. (Production NL18)",NULL,00004,Retailer,307,"PHILIPS",5125,"PHILIPS"
915,"Mondelez France SAS","DO NOT USE",NULL,KRAF11,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
928,"Alcan Packaging Moreuil",NULL,NULL,1067,Printer,3370,"ALCAN",220,"ALCAN"
929,"SGS Cheshunt",NULL,NULL,SGS007,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
937,"Danone",NULL,NULL,DAN01,Retailer,4251,"DANONE",1773,"DANONE"
940,"Procter & Gamble International Ops SA","P&G Fabric Care",NULL,PNG001,Retailer,119,"PROCTER & GAMBLE",5357,"PROCTER & GAMBLE"
941,"BPI Industrial","BPI Visqueen",NULL,1022,Printer,12443,"BRITISH POLYTHENE IND PLC",7343,"BRITISH POLYTHENE IND PLC"
944,"Leipa Georg Leinselder GMBH",NULL,NULL,27277,Supplier,12597,"LEIPA GEORG LEINSELDER GMBH",7497,"LEIPA GEORG LEINSELDER GMBH"
947,"Bischof & Klein GMBH & Co","Bischof & Klein Germany - Plates only",NULL,27279,Printer,12427,"BISCHOF & KLEIN",7327,"BISCHOF & KLEIN"
951,"Saica Flex UK Ltd - DEESIDE","Saica Flex UK Ltd - DEESIDE",NULL,27283,Printer,12716,"SAICA PACK",7615,"SAICA PACK"
961,"Impressions",NULL,NULL,9010,Retailer,4391,"IMPRESSIONS INC",3213,"IMPRESSIONS INC"
962,"Seda Italy",NULL,NULL,27290,Printer,12726,"SEDA INTERNATIONAL PACKAGING",7625,"SEDA INTERNATIONAL PACKAGING"
963,"Johnson & Johnson Hellas S.A",NULL,NULL,JOH22,Retailer,1466,"JOHNSON & JOHNSON",3480,"JOHNSON & JOHNSON"
965,"Prestige Graphics Ltd",NULL,NULL,27293,Repro House,12693,"PRESTIGE GRAPHICS LTD",7592,"PRESTIGE GRAPHICS LTD"
966,"Altayar Plastic & Rubber MFG Co",NULL,NULL,27294,Printer,12399,"ALTAYAR PLASTIC & RUBBER MFG O",7299,"ALTAYAR PLASTIC & RUBBER MFG O"
967,"NAPCO",NULL,NULL,27295,Printer,12647,"NAPCO",7547,"NAPCO"
968,"United Plastic Products Company",NULL,NULL,27296,Printer,12798,"UNITED PLASTIC PRODUCTS COMPANY",7697,"UNITED PLASTIC PRODUCTS COMPANY"
970,"Mondi Uralplastic","Mondi Uralplastic � - Plates Delivery",NULL,27298,Printer,12801,"URALPLASTIC",7700,"URALPLASTIC"
971,"Plastik SPA",NULL,NULL,27299,Printer,12684,"PLASTIK SPA",7583,"PLASTIK SPA"
989,"Obeikan Flexible Packaging",NULL,NULL,OBE001,Printer,12661,"OBEIKAN FLEXIBLE PACKAGING",7560,"OBEIKAN FLEXIBLE PACKAGING"
995,"Tetra Pak Portugal",NULL,NULL,27320,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
997,"Mondi B�k�scsaba Kft",NULL,NULL,27322,Printer,3605,"MONDI PACKAGING",4383,"MONDI PACKAGING"
1001,"Suominen Polska SP.ZO.O",NULL,NULL,27326,Printer,12757,"SUOMINEN POLSKA SP.ZO.O",7656,"SUOMINEN POLSKA SP.ZO.O"
1006,"Mondelez Portugal Iberia SA",NULL,NULL,KRAF34,Retailer,1307,"MONDELEZ",4382,"MONDELEZ"
1007,"DS Smith Packaging Polska S.A. - Kielce",NULL,NULL,27330,Printer,1307,"MONDELEZ",4382,"MONDELEZ"
1008,"Mozaic",NULL,NULL,27331,Repro House,4693,"MOZAIC MANAGEMENT IN",4428,"MOZAIC MANAGEMENT IN"
1020,"PROCTER & GAMBLE INT OPS S.A. (Germany)","P&G - BSA Switzerland / Newcastle (800)",NULL,PNG022,Retailer,119,"PROCTER & GAMBLE",5357,"PROCTER & GAMBLE"
1021,"PROCTER & GAMBLE INTERNATIONAL OPS SA (800)","P&G CEEMEA",NULL,PNG002,Retailer,119,"PROCTER & GAMBLE",5357,"PROCTER & GAMBLE"
1033,"Jordan Plastics",NULL,NULL,27355,Printer,12570,"JORDANS PLASTICS",7470,"JORDANS PLASTICS"
1046,"Grupo Bimbo","Maple Leaf Bakery now Grupo Bimbo",NULL,27367,Supplier,6141,"BIMBO BAKERIES US",819,"BIMBO BAKERIES"
1054,"Polyprint Mailing Films Ltd",NULL,NULL,27375,Printer,12689,"POLYPRINT MAILING FILMS LTD",7588,"POLYPRINT MAILING FILMS LTD"
1058,"Neeman Printers",NULL,NULL,27379,Printer,12651,"NEEMAN PRINTERS",7551,"NEEMAN PRINTERS"
1062,"McCain Foods (GB) Ltd",NULL,NULL,13012,Retailer,7847,"MCCAIN FOODS",4179,"MCCAIN FOODS"
